ticker,negative,neutral,positive,fact,opinion,volume,conviction,extremity
CSX,8,2,5,4,11,15,0.7333,0.5
ISRG,3,0,6,0,9,9,1.0,1.0
TXN,12,3,4,5,14,19,0.7368,0.3333
APD,0,1,7,1,7,8,0.875,1.0
AAPL,54,64,88,102,104,206,0.5049,0.0156
DOCN,2,0,6,1,7,8,0.875,1.0
GBCI,0,1,3,2,2,4,0.5,1.0
WRB,1,4,4,7,2,9,0.2222,0.25
OCFC,0,2,1,2,1,3,0.3333,0.5
SMCI,2,13,26,23,18,41,0.439,0.0769
VG,0,1,3,2,2,4,0.5,1.0
SOFI,3,2,4,5,4,9,0.4444,0.5
BFST,0,1,4,2,3,5,0.6,1.0
NCLH,1,3,4,3,5,8,0.625,0.3333
CNX,2,2,0,2,2,4,0.5,0.5
NTRS,0,2,8,3,7,10,0.7,0.5
OXY,6,1,1,1,7,8,0.875,1.0
PLD,5,5,11,8,13,21,0.619,0.2
HYMTF,3,0,2,1,4,5,0.8,1.0
FCX,5,0,4,3,6,9,0.6667,1.0
CRM,4,22,22,29,19,48,0.3958,0.0455
APLS,0,2,3,3,2,5,0.4,0.5
NEP,4,2,2,5,3,8,0.375,0.5
COF,3,5,11,9,10,19,0.5263,0.2
DWTX,0,1,5,1,5,6,0.8333,1.0
CHSN,5,1,0,1,5,6,0.8333,1.0
LYTS,1,2,2,4,1,5,0.2,0.5
HFWA,1,1,3,1,4,5,0.8,1.0
WKSP,3,0,5,0,8,8,1.0,1.0
WK,3,1,1,3,2,5,0.4,1.0
COSM,1,1,3,2,3,5,0.6,1.0
ELV,4,1,5,4,6,10,0.6,1.0
META,11,8,44,21,42,63,0.6667,0.125
FCCO,0,1,4,2,3,5,0.6,1.0
APH,0,1,9,2,8,10,0.8,1.0
AA,2,2,9,4,9,13,0.6923,0.5
DFS,2,0,8,2,8,10,0.8,1.0
KMI,4,7,13,14,10,24,0.4167,0.1429
PLTR,5,28,16,31,18,49,0.3673,0.0357
ALLY,4,2,3,3,6,9,0.6667,0.5
PII,6,1,2,2,7,9,0.7778,1.0
VEEV,2,3,10,7,8,15,0.5333,0.3333
FCNCA,3,2,3,3,5,8,0.625,0.5
TSLA,49,113,179,171,170,341,0.4985,0.0088
CACI,1,0,7,1,7,8,0.875,1.0
NFLX,7,14,71,27,65,92,0.7065,0.0714
HBT,1,0,4,1,4,5,0.8,1.0
NEE,4,1,4,2,7,9,0.7778,1.0
TXT,6,2,2,4,6,10,0.6,0.5
VZ,7,3,4,6,8,14,0.5714,0.3333
JNJ,5,6,12,8,15,23,0.6522,0.1667
AXP,2,0,17,2,17,19,0.8947,1.0
CATY,5,9,1,10,5,15,0.3333,0.1111
BKR,4,0,6,5,5,10,0.5,1.0
HXL,1,0,7,1,7,8,0.875,1.0
DIS,3,32,15,34,16,50,0.32,0.0312
LEN,8,2,3,4,9,13,0.6923,0.5
WNS,3,2,0,3,2,5,0.4,0.5
UNP,0,1,4,2,3,5,0.6,1.0
HZO,3,5,2,8,2,10,0.2,0.2
CMA,6,4,6,5,11,16,0.6875,0.25
HAL,2,2,1,2,3,5,0.6,0.5
STFS,6,0,0,0,6,6,1.0,1.0
BLBX,0,0,3,0,3,3,1.0,1.0
STX,4,5,9,7,11,18,0.6111,0.2
UAL,1,0,8,2,7,9,0.7778,1.0
CRNC,4,0,5,1,8,9,0.8889,1.0
AMZN,5,9,14,12,16,28,0.5714,0.1111
GDDFF,1,1,3,2,3,5,0.6,1.0
CNS,0,3,1,4,0,4,0.0,0.3333
BY,1,2,0,2,1,3,0.3333,0.5
EWJ,6,17,10,21,12,33,0.3636,0.0588
IXN,10,23,28,37,24,61,0.3934,0.0435
BAC,39,80,96,120,95,215,0.4419,0.0125
BTCUSD,49,185,157,246,145,391,0.3708,0.0054
GOOG,3,30,37,37,33,70,0.4714,0.0333
USDXUSD,43,53,35,82,49,131,0.374,0.0189
SPY,250,599,434,799,484,1283,0.3772,0.0017
MSFT,13,8,22,16,27,43,0.6279,0.125
ORCL,9,18,16,25,18,43,0.4186,0.0556
SNOW,3,4,15,9,13,22,0.5909,0.25
QGEN,0,2,3,3,2,5,0.4,0.5
AGYS,0,1,3,2,2,4,0.5,1.0
ABT,0,1,17,4,14,18,0.7778,1.0
SLG,2,3,5,6,4,10,0.4,0.3333
WSBC,1,2,2,2,3,5,0.6,0.5
